Symbol,Date,Expiry,Strike Price,Call Price,Put Price,Stock Price
NIFTY,01-01-2018,24-Dec-18,5000,1682.55,98.75,6221.149902
NIFTY,01-01-2018,24-Dec-18,6000,962.25,277.4,6221.149902
NIFTY,01-01-2018,24-Dec-18,7000,440.05,634.75,6221.149902
NIFTY,01-01-2018,24-Dec-18,8000,149.75,1131.95,6221.149902
NIFTY,01-01-2018,31-Dec-19,5000,2147.35,19.75,6221.149902
NIFTY,01-01-2018,31-Dec-19,6000,1408.7,115.9,6221.149902
NIFTY,01-01-2018,31-Dec-19,7000,827.9,369.95,6221.149902
NIFTY,01-01-2018,31-Dec-19,8000,439.2,816,6221.149902
NIFTY,01-01-2018,29-Dec-20,5000,2510.95,23.5,6221.149902
NIFTY,01-01-2018,29-Dec-20,6000,1829.15,104.55,6221.149902
NIFTY,01-01-2018,29-Dec-20,7000,1255.5,293.75,6221.149902
NIFTY,01-01-2018,29-Dec-20,8000,815.95,617.05,6221.149902
NIFTY,01-01-2018,28-Dec-21,5000,2839.85,23.55,6221.149902
NIFTY,01-01-2018,28-Dec-21,6000,2209.1,89.9,6221.149902
NIFTY,01-01-2018,28-Dec-21,7000,1656.25,234.15,6221.149902
NIFTY,01-01-2018,28-Dec-21,8000,1200.65,475.65,6221.149902
NIFTY,01-01-2018,27-Dec-22,5000,3138.65,21.9,6221.149902
NIFTY,01-01-2018,27-Dec-22,6000,2555.35,75.6,6221.149902
NIFTY,01-01-2018,27-Dec-22,8000,1576.95,371.15,6221.149902
NIFTY,02-01-2018,24-Dec-18,5000,1599.85,109.25,6211.149902
NIFTY,02-01-2018,24-Dec-18,6000,909.85,303.6,6211.149902
NIFTY,02-01-2018,24-Dec-18,7000,409.8,714.2,6211.149902
NIFTY,02-01-2018,24-Dec-18,8000,139.65,1207.45,6211.149902
NIFTY,02-01-2018,31-Dec-19,5000,2072.55,26.5,6211.149902
NIFTY,02-01-2018,31-Dec-19,6000,1350.4,139.35,6211.149902
NIFTY,02-01-2018,31-Dec-19,7000,792.25,416.2,6211.149902
NIFTY,02-01-2018,31-Dec-19,8000,499,881.6,6211.149902
NIFTY,02-01-2018,29-Dec-20,5000,2436.8,30.8,6211.149902
NIFTY,02-01-2018,29-Dec-20,6000,1768.45,125.5,6211.149902
NIFTY,02-01-2018,29-Dec-20,7000,1212.75,332.8,6211.149902
NIFTY,02-01-2018,29-Dec-20,8000,791.2,674.3,6211.149902
NIFTY,02-01-2018,28-Dec-21,5000,2765.55,30.65,6211.149902
NIFTY,02-01-2018,28-Dec-21,6000,2145.9,108.25,6211.149902
NIFTY,02-01-2018,28-Dec-21,7000,1608.25,267.85,6211.149902
NIFTY,02-01-2018,28-Dec-21,8000,1168.6,525.45,6211.149902
