Date,CIPLA.NS,HCLTECH.NS,INFY.NS,LT.NS,LUPIN.NS,MARUTI.NS,ONGC.NS,SUNPHARMA.NS,TECHM.NS,WIPRO.NS,NSE Index
01-01-2022,401.75,314.625,433.5,712.366638,916.5,1764,192.066666,572.349976,457.024994,207.262558,6221.149902
01-02-2022,392.299988,312.762512,435.068756,690.700012,906,1768.400024,187.800003,573.849976,454.024994,207.356308,6211.149902
01-03-2022,391.75,314.9375,445.643738,674.700012,932.900024,1798.599976,183.866669,579.700012,458.875,208.725052,6191.450195
01-06-2022,391.600006,312.662506,439.737488,673.666687,938,1807.699951,187.300003,588.25,453.962494,209.250046,6162.25
01-07-2022,390.850006,314.087494,432.143738,679.666687,932.900024,1845.75,184.166672,594.200012,451.012512,206.325058,6174.600098
01-08-2022,404.200012,311.600006,428.512512,665.56665,938.349976,1837.5,182.133331,600.900024,460.149994,205.181305,6168.350098
01-09-2022,403.100006,321.3125,431.350006,647.93335,934,1811.800049,186.866669,607,457.262512,202.837555,6171.450195
01-10-2022,399.100006,324.549988,443.90625,637.366638,936.75,1794.099976,189.366669,609.400024,469.725006,207.506302,6272.75
1/13/2018,402.25,335.837494,458.125,653.700012,919.950012,1782.75,195.266663,602.349976,471.125,210.543808,6241.850098
1/14/2018,411.149994,330.25,460.84375,648,934.349976,1773.349976,193.5,603.549988,473.3125,207.600052,6320.899902
1/15/2018,418.049988,332.587494,464.006256,666.06665,925.25,1800.099976,194.53334,603.5,471.012512,210.262558,6318.899902
1/16/2018,412.649994,347.674988,465.631256,669.333313,916,1789.849976,191.300003,592.75,466.5625,214.331299,6261.649902
1/17/2018,417.600006,344.912506,466.21875,668.56665,909.349976,1775.199951,191.666672,594,443.8125,207.262558,6303.950195
1/20/2018,419.850006,357.649994,468.662506,665.966675,909.849976,1778.199951,191.433334,589.400024,457.174988,214.893799,6313.799805
1/21/2018,417.399994,360.037506,469.793762,674.333313,907.5,1801.900024,191.333328,580.349976,457.162506,214.331299,6338.950195
1/22/2018,422.700012,361.1875,470.737488,669.866638,926.950012,1807.849976,193.199997,597.450012,460.537506,216.731308,6345.649902
1/23/2018,419.549988,352.924988,474.0625,688.633362,921.900024,1793.800049,190.066666,609.349976,457.662506,216.937561,6266.75
1/24/2018,414.399994,352.962494,469.768738,670.900024,913.75,1774.25,188.800003,603.599976,448.387512,214.818802,6135.850098
1/27/2018,415,356.125,466.524994,653.43335,896.400024,1702.300049,184.666672,597.799988,440.0625,213.956299,6126.25
1/28/2018,409.25,353.112488,459.387512,655.666687,876.25,1566,183.5,581.900024,434.6875,212.850052,6120.25
1/29/2018,414.5,355.575012,464.725006,662.099976,866.25,1673.849976,184.666672,591.450012,437.387512,214.312546,6073.700195
1/30/2018,413.450012,358.549988,463.03125,653.633362,869.849976,1635.900024,181.46666,593.599976,429.575012,214.200058,6089.5
1/31/2018,410.600006,365.549988,462.637512,657.266663,881.900024,1636.25,183.699997,588.700012,446.737488,215.643799,6001.799805
02-03-2022,412.5,363.225006,453.643738,652.866638,921.799988,1618.5,178.53334,594.299988,440.774994,212.231308,6000.899902
02-04-2022,415.149994,350.475006,445.137512,655.333313,912.049988,1619.650024,178.666672,587.75,442.712494,208.368805,6022.399902
02-05-2022,415.149994,348.412506,447.65625,656.93335,915.450012,1606.699951,180.166672,583.599976,459.962494,210.150055,6036.299805
02-06-2022,410.049988,352.174988,445.462494,650.166687,908.950012,1639.699951,178.600006,584.900024,461.375,213.206299,6063.200195
02-07-2022,417.049988,350.012512,445.818756,656.099976,919.299988,1664.949951,179.53334,601.650024,455.787506,210.618805,6053.450195
02-10-2022,414.549988,354.037506,446.725006,663.93335,924.549988,1688.849976,181.5,611.650024,458.037506,211.200058,6062.700195
02-11-2022,412.5,368.274994,449.53125,662.43335,913.200012,1678.150024,183.96666,608.299988,465.424988,211.181305,6084
02-12-2022,412.75,372.700012,450.012512,673.666687,910,1647.699951,188.733337,611.049988,468.912506,210.918808,6001.100098
2/13/2018,380.299988,372.299988,448.225006,657.966675,894.049988,1641.25,182.333328,615.299988,453.450012,208.200058,6048.350098
2/14/2018,373.350006,374.337494,455.537506,661.833313,901.349976,1643.400024,184.266663,609.049988,457.962494,211.425049,null
2/17/2018,374.350006,375.600006,457.268738,665.533325,914.299988,1665.699951,185.166672,605.099976,455.9375,210.375046,6127.100098
