Symbol,Date,Expiry,Strike Price,Call Price,Put Price,Stock Price
TATAMOTORS,01-01-2018,30-Jan-18,400,4.85,24.5,369.242859
TATAMOTORS,01-01-2018,26-Feb-18,400,11.3,32,369.242859
TATAMOTORS,01-01-2018,27-Mar-18,400,16.65,37.4,369.242859
TATAMOTORS,01-01-2018,30-Jan-18,420,1.9,47.5,369.242859
TATAMOTORS,01-01-2018,26-Feb-18,420,27.85,40.35,369.242859
TATAMOTORS,01-01-2018,27-Mar-18,420,10.95,51.3,369.242859
TATAMOTORS,01-01-2018,30-Jan-18,440,0.55,66,369.242859
TATAMOTORS,01-01-2018,26-Feb-18,440,15.5,52.9,369.242859
TATAMOTORS,01-01-2018,27-Mar-18,440,7,66.9,369.242859
TATAMOTORS,01-01-2018,30-Jan-18,460,8.8,77.3,369.242859
TATAMOTORS,01-01-2018,26-Feb-18,460,11,66.95,369.242859
TATAMOTORS,01-01-2018,27-Mar-18,460,4.35,83.8,369.242859
TATAMOTORS,02-01-2018,30-Jan-18,400,4,30,366.682404
TATAMOTORS,02-01-2018,26-Feb-18,400,10.2,32,366.682404
TATAMOTORS,02-01-2018,27-Mar-18,400,16.65,37.4,366.682404
TATAMOTORS,02-01-2018,30-Jan-18,420,1.45,47.5,366.682404
TATAMOTORS,02-01-2018,26-Feb-18,420,5.8,40.35,366.682404
TATAMOTORS,02-01-2018,27-Mar-18,420,10.95,51.3,366.682404
TATAMOTORS,02-01-2018,30-Jan-18,440,0.4,66,366.682404
TATAMOTORS,02-01-2018,26-Feb-18,440,15.5,52.9,366.682404
TATAMOTORS,02-01-2018,27-Mar-18,440,7,66.9,366.682404
TATAMOTORS,02-01-2018,30-Jan-18,460,8.8,77.3,366.682404
TATAMOTORS,02-01-2018,26-Feb-18,460,11,66.95,366.682404
TATAMOTORS,02-01-2018,27-Mar-18,460,4.35,83.8,366.682404
TATAMOTORS,03-01-2018,30-Jan-18,400,2.45,35.9,357.179291
TATAMOTORS,03-01-2018,26-Feb-18,400,8,40,357.179291
TATAMOTORS,03-01-2018,27-Mar-18,400,16.65,37.4,357.179291
TATAMOTORS,03-01-2018,30-Jan-18,420,0.9,47.5,357.179291
TATAMOTORS,03-01-2018,26-Feb-18,420,5.8,40.35,357.179291
TATAMOTORS,03-01-2018,27-Mar-18,420,10.95,51.3,357.179291
TATAMOTORS,03-01-2018,30-Jan-18,440,0.4,66,357.179291
TATAMOTORS,03-01-2018,26-Feb-18,440,15.5,52.9,357.179291
TATAMOTORS,03-01-2018,27-Mar-18,440,7,66.9,357.179291
TATAMOTORS,03-01-2018,30-Jan-18,460,8.8,77.3,357.179291
TATAMOTORS,03-01-2018,26-Feb-18,460,11,66.95,357.179291
TATAMOTORS,03-01-2018,27-Mar-18,460,4.35,83.8,357.179291
TATAMOTORS,06-01-2018,30-Jan-18,400,2.65,35.9,361.364594
TATAMOTORS,06-01-2018,26-Feb-18,400,9,40,361.364594
TATAMOTORS,06-01-2018,27-Mar-18,400,16.65,37.4,361.364594
TATAMOTORS,06-01-2018,30-Jan-18,420,0.9,47.5,361.364594
TATAMOTORS,06-01-2018,26-Feb-18,420,5.8,40.35,361.364594
TATAMOTORS,06-01-2018,27-Mar-18,420,10.95,51.3,361.364594
TATAMOTORS,06-01-2018,30-Jan-18,440,0.4,66,361.364594
TATAMOTORS,06-01-2018,26-Feb-18,440,15.5,52.9,361.364594
TATAMOTORS,06-01-2018,27-Mar-18,440,7,66.9,361.364594
TATAMOTORS,06-01-2018,30-Jan-18,460,8.8,77.3,361.364594
TATAMOTORS,06-01-2018,26-Feb-18,460,11,66.95,361.364594
TATAMOTORS,06-01-2018,27-Mar-18,460,4.35,83.8,361.364594
TATAMOTORS,07-01-2018,30-Jan-18,400,2.35,35.9,359.542755
TATAMOTORS,07-01-2018,26-Feb-18,400,9,40,359.542755
TATAMOTORS,07-01-2018,27-Mar-18,400,16.65,37.4,359.542755
TATAMOTORS,07-01-2018,30-Jan-18,420,0.8,47.5,359.542755
TATAMOTORS,07-01-2018,26-Feb-18,420,5.8,40.35,359.542755
TATAMOTORS,07-01-2018,27-Mar-18,420,10.95,51.3,359.542755
TATAMOTORS,07-01-2018,30-Jan-18,440,0.3,66,359.542755
TATAMOTORS,07-01-2018,26-Feb-18,440,15.5,52.9,359.542755
TATAMOTORS,07-01-2018,27-Mar-18,440,7,66.9,359.542755
TATAMOTORS,07-01-2018,30-Jan-18,460,8.8,77.3,359.542755
