Symbol,Date,Expiry,Strike Price,Call Price,Put Price,Stock Price
RELIANCE,01-01-2018,30-Jan-18,900,21.2,23.05,417.225403
RELIANCE,01-01-2018,26-Feb-18,900,34.6,28.45,417.225403
RELIANCE,01-01-2018,27-Mar-18,900,57.15,49.45,417.225403
RELIANCE,01-01-2018,30-Jan-18,920,13.25,34.9,417.225403
RELIANCE,01-01-2018,26-Feb-18,920,24,74.1,417.225403
RELIANCE,01-01-2018,27-Mar-18,920,48.1,59.95,417.225403
RELIANCE,01-01-2018,30-Jan-18,940,7.7,46,417.225403
RELIANCE,01-01-2018,26-Feb-18,940,17.8,88.4,417.225403
RELIANCE,01-01-2018,27-Mar-18,940,40.15,71.5,417.225403
RELIANCE,01-01-2018,30-Jan-18,960,4.35,48.2,417.225403
RELIANCE,01-01-2018,26-Feb-18,960,13.5,103.65,417.225403
RELIANCE,01-01-2018,27-Mar-18,960,33.2,84.15,417.225403
RELIANCE,01-01-2018,30-Jan-18,980,2.35,75.85,417.225403
RELIANCE,01-01-2018,26-Feb-18,980,10.15,119.85,417.225403
RELIANCE,01-01-2018,27-Mar-18,980,27.25,97.75,417.225403
RELIANCE,01-01-2018,30-Jan-18,1000,1.45,97,417.225403
RELIANCE,01-01-2018,26-Feb-18,1000,7.55,136.75,417.225403
RELIANCE,01-01-2018,27-Mar-18,1000,22.25,112.3,417.225403
RELIANCE,01-01-2018,30-Jan-18,1020,1.05,105.1,417.225403
RELIANCE,01-01-2018,26-Feb-18,1020,5.5,154.3,417.225403
RELIANCE,01-01-2018,27-Mar-18,1020,18,127.6,417.225403
RELIANCE,02-01-2018,30-Jan-18,900,14.95,33.65,410.747345
RELIANCE,02-01-2018,26-Feb-18,900,27.05,35.35,410.747345
RELIANCE,02-01-2018,27-Mar-18,900,57.15,49.45,410.747345
RELIANCE,02-01-2018,30-Jan-18,920,9.05,45,410.747345
RELIANCE,02-01-2018,26-Feb-18,920,20,74.1,410.747345
RELIANCE,02-01-2018,27-Mar-18,920,48.1,59.95,410.747345
RELIANCE,02-01-2018,30-Jan-18,940,5.3,61.1,410.747345
RELIANCE,02-01-2018,26-Feb-18,940,17.8,88.4,410.747345
RELIANCE,02-01-2018,27-Mar-18,940,40.15,71.5,410.747345
RELIANCE,02-01-2018,30-Jan-18,960,3,48.2,410.747345
RELIANCE,02-01-2018,26-Feb-18,960,13.5,103.65,410.747345
RELIANCE,02-01-2018,27-Mar-18,960,33.2,84.15,410.747345
RELIANCE,02-01-2018,30-Jan-18,980,1.8,75.85,410.747345
RELIANCE,02-01-2018,26-Feb-18,980,4.15,119.85,410.747345
RELIANCE,02-01-2018,27-Mar-18,980,27.25,97.75,410.747345
RELIANCE,02-01-2018,30-Jan-18,1000,1.2,122,410.747345
RELIANCE,02-01-2018,26-Feb-18,1000,7.55,136.75,410.747345
RELIANCE,02-01-2018,27-Mar-18,1000,22.25,112.3,410.747345
RELIANCE,02-01-2018,30-Jan-18,1020,1.05,105.1,410.747345
RELIANCE,02-01-2018,26-Feb-18,1020,5.5,154.3,410.747345
RELIANCE,02-01-2018,27-Mar-18,1020,18,127.6,410.747345
RELIANCE,03-01-2018,30-Jan-18,900,11.7,38.55,405.701019
RELIANCE,03-01-2018,26-Feb-18,900,21,48.95,405.701019
RELIANCE,03-01-2018,27-Mar-18,900,57.15,49.45,405.701019
RELIANCE,03-01-2018,30-Jan-18,920,7.15,54,405.701019
RELIANCE,03-01-2018,26-Feb-18,920,15,74.1,405.701019
RELIANCE,03-01-2018,27-Mar-18,920,48.1,59.95,405.701019
RELIANCE,03-01-2018,30-Jan-18,940,4.25,66.5,405.701019
RELIANCE,03-01-2018,26-Feb-18,940,9.5,88.4,405.701019
RELIANCE,03-01-2018,27-Mar-18,940,40.15,71.5,405.701019
RELIANCE,03-01-2018,30-Jan-18,960,2.65,48.2,405.701019
RELIANCE,03-01-2018,26-Feb-18,960,13.5,103.65,405.701019
RELIANCE,03-01-2018,27-Mar-18,960,33.2,84.15,405.701019
RELIANCE,03-01-2018,30-Jan-18,980,1.7,100.85,405.701019
RELIANCE,03-01-2018,26-Feb-18,980,4.15,119.85,405.701019
RELIANCE,03-01-2018,27-Mar-18,980,27.25,97.75,405.701019
RELIANCE,03-01-2018,30-Jan-18,1000,1.1,122,405.701019
RELIANCE,03-01-2018,26-Feb-18,1000,7.55,136.75,405.701019
RELIANCE,03-01-2018,27-Mar-18,1000,22.25,112.3,405.701019
RELIANCE,03-01-2018,30-Jan-18,1020,1.05,105.1,405.701019
RELIANCE,03-01-2018,26-Feb-18,1020,5.5,154.3,405.701019
RELIANCE,03-01-2018,27-Mar-18,1020,18,127.6,405.701019
RELIANCE,06-01-2018,30-Jan-18,900,9,46.15,401.335358
RELIANCE,06-01-2018,26-Feb-18,900,18.05,51,401.335358
RELIANCE,06-01-2018,27-Mar-18,900,57.15,49.45,401.335358
RELIANCE,06-01-2018,30-Jan-18,920,5.55,62.35,401.335358
RELIANCE,06-01-2018,26-Feb-18,920,12.5,74.1,401.335358
RELIANCE,06-01-2018,27-Mar-18,920,48.1,59.95,401.335358
RELIANCE,06-01-2018,30-Jan-18,940,3.25,66.5,401.335358
RELIANCE,06-01-2018,26-Feb-18,940,9.5,88.4,401.335358
RELIANCE,06-01-2018,27-Mar-18,940,40.15,71.5,401.335358
RELIANCE,06-01-2018,30-Jan-18,960,2.2,48.2,401.335358
RELIANCE,06-01-2018,26-Feb-18,960,13.5,103.65,401.335358
RELIANCE,06-01-2018,27-Mar-18,960,33.2,84.15,401.335358
RELIANCE,06-01-2018,30-Jan-18,980,1.35,100.85,401.335358
