Symbol,Date,Expiry,Strike Price,Call Price,Put Price,Stock Price
HDFCBANK,25-03-2018,27-Mar-18,900,2.7,213.5,358.393738
HDFCBANK,25-03-2018,24-Apr-18,900,0.15,249.5,358.393738
HDFCBANK,25-03-2018,29-May-18,900,0.3,201.35,358.393738
HDFCBANK,26-03-2018,27-Mar-18,900,2.7,213.5,356.434875
HDFCBANK,26-03-2018,24-Apr-18,900,0.15,249.5,356.434875
HDFCBANK,26-03-2018,29-May-18,900,0.3,201.35,356.434875
HDFCBANK,27-03-2018,27-Mar-18,900,2.7,213.5,356.769287
HDFCBANK,27-03-2018,24-Apr-18,900,0.15,249.5,356.769287
HDFCBANK,27-03-2018,29-May-18,900,0.3,201.35,356.769287
HDFCBANK,28-03-2018,24-Apr-18,900,0.15,249.5,355.909332
HDFCBANK,28-03-2018,29-May-18,900,0.3,201.35,355.909332
HDFCBANK,28-03-2018,26-Jun-18,900,6.6,138.05,355.909332
HDFCBANK,31-03-2018,24-Apr-18,900,0.15,249.5,357.748718
HDFCBANK,31-03-2018,29-May-18,900,0.3,201.35,357.748718
HDFCBANK,31-03-2018,26-Jun-18,900,6.6,138.05,357.748718
HDFCBANK,01-04-2018,24-Apr-18,900,0.15,249.5,352.636688
HDFCBANK,01-04-2018,29-May-18,900,0.3,201.35,352.636688
HDFCBANK,01-04-2018,26-Jun-18,900,6.6,138.05,352.636688
HDFCBANK,02-04-2018,24-Apr-18,900,0.15,249.5,349.67453
HDFCBANK,02-04-2018,29-May-18,900,0.3,201.35,349.67453
HDFCBANK,02-04-2018,26-Jun-18,900,6.6,138.05,349.67453
HDFCBANK,03-04-2018,24-Apr-18,900,0.15,249.5,348.193481
HDFCBANK,03-04-2018,29-May-18,900,0.3,201.35,348.193481
HDFCBANK,03-04-2018,26-Jun-18,900,6.6,138.05,348.193481
HDFCBANK,04-04-2018,24-Apr-18,900,0.15,249.5,346.592957
HDFCBANK,04-04-2018,29-May-18,900,0.3,201.35,346.592957
HDFCBANK,04-04-2018,26-Jun-18,900,6.6,138.05,346.592957
HDFCBANK,07-04-2018,24-Apr-18,900,0.15,249.5,346.545135
HDFCBANK,07-04-2018,29-May-18,900,0.3,201.35,346.545135
HDFCBANK,07-04-2018,26-Jun-18,900,6.6,138.05,346.545135
HDFCBANK,09-04-2018,24-Apr-18,900,0.15,249.5,354.428284
HDFCBANK,09-04-2018,29-May-18,900,0.3,201.35,354.428284
HDFCBANK,09-04-2018,26-Jun-18,900,6.6,138.05,354.428284
HDFCBANK,10-04-2018,24-Apr-18,900,0.15,249.5,353.257751
HDFCBANK,10-04-2018,29-May-18,900,0.3,201.35,353.257751
HDFCBANK,10-04-2018,26-Jun-18,900,6.6,138.05,353.257751
HDFCBANK,11-04-2018,24-Apr-18,900,0.15,249.5,352.660553
HDFCBANK,11-04-2018,29-May-18,900,0.3,201.35,352.660553
HDFCBANK,11-04-2018,26-Jun-18,900,6.6,138.05,352.660553
HDFCBANK,15-04-2018,24-Apr-18,900,2.75,249.5,345.876312
HDFCBANK,15-04-2018,29-May-18,900,0.3,201.35,345.876312
HDFCBANK,15-04-2018,26-Jun-18,900,6.6,138.05,345.876312
HDFCBANK,16-04-2018,24-Apr-18,900,2.75,249.5,346.831818
HDFCBANK,16-04-2018,29-May-18,900,3.2,201.35,346.831818
HDFCBANK,16-04-2018,26-Jun-18,900,6.6,138.05,346.831818
HDFCBANK,17-04-2018,24-Apr-18,900,2.75,249.5,343.368103
HDFCBANK,17-04-2018,29-May-18,900,3.2,201.35,343.368103
HDFCBANK,17-04-2018,26-Jun-18,900,6.6,138.05,343.368103
HDFCBANK,21-04-2018,24-Apr-18,900,2.75,249.5,342.293091
HDFCBANK,21-04-2018,29-May-18,900,3.2,201.35,342.293091
HDFCBANK,21-04-2018,26-Jun-18,900,6.6,138.05,342.293091
HDFCBANK,22-04-2018,24-Apr-18,900,2.75,249.5,347.596252
HDFCBANK,22-04-2018,29-May-18,900,3,201.35,347.596252
HDFCBANK,22-04-2018,26-Jun-18,900,6.6,138.05,347.596252
HDFCBANK,23-04-2018,24-Apr-18,900,2.75,249.5,350.200043
HDFCBANK,23-04-2018,29-May-18,900,3,201.35,350.200043
HDFCBANK,23-04-2018,26-Jun-18,900,6.6,138.05,350.200043
HDFCBANK,25-04-2018,29-May-18,900,3,201.35,347.046844
HDFCBANK,25-04-2018,26-Jun-18,900,6.6,138.05,347.046844
HDFCBANK,25-04-2018,31-Jul-18,900,2.75,147.6,347.046844
HDFCBANK,28-04-2018,29-May-18,900,3,201.35,346.473511
HDFCBANK,28-04-2018,26-Jun-18,900,6.6,138.05,346.473511
HDFCBANK,28-04-2018,31-Jul-18,900,2.75,147.6,346.473511
HDFCBANK,29-04-2018,29-May-18,900,3,201.35,341.982544
HDFCBANK,29-04-2018,26-Jun-18,900,6.6,138.05,341.982544
HDFCBANK,29-04-2018,31-Jul-18,900,2.75,147.6,341.982544
HDFCBANK,30-04-2018,29-May-18,900,3,201.35,344.610229
HDFCBANK,30-04-2018,26-Jun-18,900,6.6,138.05,344.610229
HDFCBANK,30-04-2018,31-Jul-18,900,2.75,147.6,344.610229
HDFCBANK,02-05-2018,29-May-18,900,3,201.35,342.603577
HDFCBANK,02-05-2018,26-Jun-18,900,6.6,138.05,342.603577
HDFCBANK,02-05-2018,31-Jul-18,900,2.75,147.6,342.603577
HDFCBANK,05-05-2018,29-May-18,900,3,201.35,342.412537
HDFCBANK,05-05-2018,26-Jun-18,900,6.6,138.05,342.412537
HDFCBANK,05-05-2018,31-Jul-18,900,2.75,147.6,342.412537
HDFCBANK,06-05-2018,29-May-18,900,2.95,201.35,344.084686
HDFCBANK,06-05-2018,26-Jun-18,900,6.6,138.05,344.084686
HDFCBANK,06-05-2018,31-Jul-18,900,2.75,147.6,344.084686
HDFCBANK,07-05-2018,29-May-18,900,2.95,201.35,341.886993
HDFCBANK,07-05-2018,26-Jun-18,900,6.6,138.05,341.886993
HDFCBANK,07-05-2018,31-Jul-18,900,2.75,147.6,341.886993
HDFCBANK,08-05-2018,29-May-18,900,2.95,201.35,343.176941
HDFCBANK,08-05-2018,26-Jun-18,900,6.6,138.05,343.176941
HDFCBANK,08-05-2018,31-Jul-18,900,2.75,147.6,343.176941
HDFCBANK,09-05-2018,29-May-18,900,7.15,201.35,361.570801
HDFCBANK,09-05-2018,26-Jun-18,900,6.6,138.05,361.570801
HDFCBANK,09-05-2018,31-Jul-18,900,2.75,147.6,361.570801
HDFCBANK,12-05-2018,29-May-18,900,10.05,201.35,378.459747
HDFCBANK,12-05-2018,26-Jun-18,900,6.6,138.05,378.459747
HDFCBANK,12-05-2018,31-Jul-18,900,2.75,147.6,378.459747
HDFCBANK,13-05-2018,29-May-18,900,3.45,201.35,376.548706
HDFCBANK,13-05-2018,26-Jun-18,900,6.6,138.05,376.548706
HDFCBANK,13-05-2018,31-Jul-18,900,2.75,147.6,376.548706
HDFCBANK,14-05-2018,29-May-18,900,3.55,201.35,370.481079
HDFCBANK,14-05-2018,26-Jun-18,900,6.6,138.05,370.481079
HDFCBANK,14-05-2018,31-Jul-18,900,2.75,147.6,370.481079
HDFCBANK,15-05-2018,29-May-18,900,3.15,201.35,376.644226
HDFCBANK,15-05-2018,26-Jun-18,900,6.6,138.05,376.644226
HDFCBANK,15-05-2018,31-Jul-18,900,2.75,147.6,376.644226
HDFCBANK,16-05-2018,29-May-18,900,1.4,201.35,384.455658
HDFCBANK,16-05-2018,26-Jun-18,900,6.6,138.05,384.455658
HDFCBANK,16-05-2018,31-Jul-18,900,2.75,147.6,384.455658
HDFCBANK,16-05-2018,29-May-18,920,0.2,220.75,384.455658
HDFCBANK,16-05-2018,26-Jun-18,920,4.8,155.75,384.455658
HDFCBANK,16-05-2018,31-Jul-18,920,1.8,166.2,384.455658
HDFCBANK,19-05-2018,29-May-18,900,1.05,201.35,387.895569
HDFCBANK,19-05-2018,26-Jun-18,900,15,138.05,387.895569
HDFCBANK,19-05-2018,31-Jul-18,900,2.75,147.6,387.895569
HDFCBANK,19-05-2018,29-May-18,920,0.2,220.75,387.895569
HDFCBANK,19-05-2018,26-Jun-18,920,4.8,155.75,387.895569
HDFCBANK,19-05-2018,31-Jul-18,920,1.8,166.2,387.895569
HDFCBANK,20-05-2018,29-May-18,900,1.5,201.35,389.878265
HDFCBANK,20-05-2018,26-Jun-18,900,10,138.05,389.878265
HDFCBANK,20-05-2018,31-Jul-18,900,2.75,147.6,389.878265
HDFCBANK,20-05-2018,29-May-18,920,0.2,220.75,389.878265
HDFCBANK,20-05-2018,26-Jun-18,920,4.8,155.75,389.878265
HDFCBANK,20-05-2018,31-Jul-18,920,1.8,166.2,389.878265
HDFCBANK,21-05-2018,29-May-18,900,0.5,201.35,386.748901
HDFCBANK,21-05-2018,26-Jun-18,900,10,138.05,386.748901
HDFCBANK,21-05-2018,31-Jul-18,900,2.75,147.6,386.748901
HDFCBANK,21-05-2018,29-May-18,920,0.2,220.75,386.748901
HDFCBANK,21-05-2018,26-Jun-18,920,4.8,155.75,386.748901
HDFCBANK,21-05-2018,31-Jul-18,920,1.8,166.2,386.748901
HDFCBANK,22-05-2018,29-May-18,900,0.5,201.35,383.452393
HDFCBANK,22-05-2018,26-Jun-18,900,10,138.05,383.452393
HDFCBANK,22-05-2018,31-Jul-18,900,2.75,147.6,383.452393
